,Classes,Model,Backbone,Trained Dataset,Test Dataset,Trained Epochs,Batch Size,optimizer,loss,Images Count,mIoU,Precision,Recall,F1-score (Dice-score),F2-score
IDD_PSPnet_mobilenetV2_alpha1_125epoch_BDD,3,PSPnet,MobilenetV2 alpha1.0,IDD,BDD,125,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,1000,0.5204802438117531,0.6899137932236103,0.67048211982521,0.6419373326396369,0.6504503317150697
IDD_PSPnet_mobilenetV2_alpha1_125epoch_CS,3,PSPnet,MobilenetV2 alpha1.0,IDD,CS,125,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,500,0.638293054054572,0.7540862982747488,0.7862153867530097,0.7591634647276087,0.7721272900599557
IDD_Linknet_mobilenetV2_alpha1_100epoch_IDD,3,Linknet,MobilenetV2 alpha1.0,IDD,IDD,100,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,1020,0.9193786307578746,0.9597791886009613,0.9533381279206626,0.9556627798397551,0.9540954864661466
IDD_Linknet_mobilenetV2_alpha1_100epoch_BDD,3,Linknet,MobilenetV2 alpha1.0,IDD,BDD,100,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,1000,0.6221473675584539,0.7357337768441102,0.785010695507026,0.7333055438353828,0.7491313974981808
IDD_Linknet_mobilenetV2_alpha1_100epoch_CS,3,Linknet,MobilenetV2 alpha1.0,IDD,CS,100,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,500,0.7075574160520249,0.8109755586039761,0.8369966935258654,0.8150882038252989,0.8257883103652489
IDD_Unet_mobilenetV2_alpha0_35_150epoch_IDD,3,Unet,MobilenetV2 alpha0.35,IDD,IDD,150,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,1020,0.9179680922601001,0.961496855886483,0.9503092820216579,0.9546944360714199,0.9518424984443874
IDD_Unet_mobilenetV2_alpha0_35_150epoch_BDD,3,Unet,MobilenetV2 alpha0.35,IDD,BDD,150,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,1000,0.5149056051923953,0.69795768422388,0.6820713925548318,0.6295912191111179,0.6474394128893025
IDD_Unet_mobilenetV2_alpha0_35_150epoch_CS,3,Unet,MobilenetV2 alpha0.35,IDD,CS,150,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,500,0.6369439979266907,0.7439973243449056,0.7814523772887744,0.7443633486475588,0.7590755547630147
IDD_Dv3p_mobilenetV2_upsampleby2_custom_alpha0_35_168epoch_IDD,3,Dv3p,MobilenetV2 alpha0.35,IDD,IDD,168,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,1020,0.9238012754196182,0.9610420694846921,0.9579901140720005,0.9583563777508259,0.9579204971228877
IDD_Dv3p_mobilenetV2_upsampleby2_custom_alpha0_35_168epoch_BDD,3,Dv3p,MobilenetV2 alpha0.35,IDD,BDD,168,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,1000,0.5235922852747887,0.7167332176803818,0.7103528124772157,0.6442662426794727,0.6584407215503982
