,Classes,Model,Backbone,Trained Dataset,Test Dataset,Trained Epochs,Batch Size,optimizer,loss,Images Count,mIoU,Precision,Recall,F1-score (Dice-score),F2-score
IDD_Dv3p_mobilenetV2_alpha1_lite_IDD,3,DeeplabV3p,MobilenetV2 alpha1.0,IDD,IDD,725,16,"adam,nadam(275 onwards) + with_Reduce_LR(350 onwards)",dice_loss + categorical_crossentropy + jaccard_loss,1020,0.844199344816277,0.9065824696785401,0.9142198799114222,0.9081998008817821,0.9112166040495563
IDD_Dv3p_mobilenetV2_alpha1_lite_BDD,3,DeeplabV3p,MobilenetV2 alpha1.0,IDD,BDD,725,16,"adam,nadam(275 onwards) + with_Reduce_LR(350 onwards)",dice_loss + categorical_crossentropy + jaccard_loss,1000,0.6350662717307606,0.7542414819223561,0.7956853083864377,0.7497191587145996,0.7670168601804526
IDD_Dv3p_mobilenetV2_alpha1_lite_CS,3,DeeplabV3p,MobilenetV2 alpha1.0,IDD,CS,725,16,"adam,nadam(275 onwards) + with_Reduce_LR(350 onwards)",dice_loss + categorical_crossentropy + jaccard_loss,500,0.7042013841151196,0.8208247683139068,0.8347377465263074,0.817251204142188,0.824993245301396
