epoch,f1-score,iou_score,loss,precision,recall,val_f1-score,val_iou_score,val_loss,val_precision,val_recall
0,0.769318759441376,0.666600167751312,0.64054137468338,0.767138063907623,0.787924230098724,0.177243441343308,0.100764349102974,3.55674147605896,0.426664292812347,0.456366389989853
1,0.805029511451721,0.708794057369232,0.548684060573578,0.805250763893127,0.816329956054688,0.530380725860596,0.39100506901741,1.5439521074295,0.584717214107513,0.616789937019348
2,0.813766300678253,0.718720018863678,0.527975916862488,0.814792394638062,0.823383510112762,0.435517430305481,0.303034275770187,2.07998299598694,0.55290561914444,0.570878028869629
3,0.821410834789276,0.729060590267181,0.506329119205475,0.82342940568924,0.829054057598114,0.415856093168259,0.284269213676453,2.09860038757324,0.572921812534332,0.560167193412781
4,0.82887613773346,0.738348960876465,0.487756222486496,0.831728041172028,0.835253596305847,0.657028913497925,0.529243528842926,1.07447695732117,0.671810030937195,0.730256497859955
5,0.835567712783814,0.745643377304077,0.472677707672119,0.838127255439758,0.840546369552612,0.548063278198242,0.41278812289238,1.32158803939819,0.651153922080994,0.642155528068543
6,0.842327535152435,0.755843341350555,0.452422022819519,0.846537530422211,0.846138834953308,0.661496520042419,0.51906806230545,1.06646931171417,0.695241868495941,0.684571206569672
7,0.840375244617462,0.752056360244751,0.459918826818466,0.843531012535095,0.844723701477051,0.698942005634308,0.589073419570923,0.851324319839477,0.690528392791748,0.799357891082764
8,0.848860800266266,0.763415932655335,0.436812251806259,0.853208482265472,0.851363837718964,0.759249985218048,0.646953105926514,0.694183051586151,0.744929015636444,0.799098551273346
9,0.850922882556915,0.766202986240387,0.431619912385941,0.855227291584015,0.853313386440277,0.579620718955994,0.430791765451431,1.29868423938751,0.641354382038116,0.663295865058899
10,0.853236556053162,0.768924653530121,0.425245523452759,0.85779196023941,0.854742169380188,0.760312438011169,0.653961658477783,0.69640052318573,0.777510404586792,0.779960811138153
11,0.856995403766632,0.774157822132111,0.414961487054825,0.861376464366913,0.858251214027405,0.749919831752777,0.64465719461441,0.710172116756439,0.747191250324249,0.799118459224701
12,0.857392191886902,0.775188148021698,0.41310128569603,0.862748086452484,0.857752680778503,0.775820434093475,0.675090968608856,0.642874181270599,0.78202623128891,0.792215526103973
13,0.861067593097687,0.780049622058868,0.402785032987595,0.865884840488434,0.861225783824921,0.722032248973846,0.594834804534912,0.796091496944428,0.727972030639648,0.755509257316589
14,0.866781949996948,0.787274897098541,0.389040887355804,0.872218430042267,0.865470111370087,0.604724228382111,0.461163014173508,1.28223347663879,0.670504629611969,0.679155886173248
15,0.86273056268692,0.781624674797058,0.40026330947876,0.868437170982361,0.862540364265442,0.79200154542923,0.693028151988983,0.610264182090759,0.779248237609863,0.820016026496887
16,0.866629302501678,0.787061452865601,0.388891369104385,0.871540606021881,0.865946590900421,0.72638326883316,0.611850142478943,0.796598315238953,0.771556496620178,0.751766979694366
17,0.87032288312912,0.793012857437134,0.377438902854919,0.875837743282318,0.868558764457703,0.76744669675827,0.650149405002594,0.711979448795319,0.833801031112671,0.73375415802002
18,0.869539499282837,0.79165118932724,0.380082875490189,0.875010251998901,0.86814147233963,0.507920205593109,0.389299005270004,1.52383303642273,0.839612066745758,0.476214021444321
19,0.871188879013062,0.79363089799881,0.376360535621643,0.876419603824616,0.869868814945221,0.802196204662323,0.700002491474152,0.589800953865051,0.817995488643646,0.803079783916473
20,0.87325519323349,0.796530246734619,0.370776891708374,0.878249526023865,0.872426152229309,0.703415334224701,0.57225900888443,0.926954865455627,0.793506860733032,0.690525114536285
21,0.876304805278778,0.800494194030762,0.362884968519211,0.881305575370789,0.875022292137146,0.559140861034393,0.425089359283447,1.41723787784576,0.79474413394928,0.544088006019592
22,0.878384232521057,0.80405580997467,0.355946630239487,0.8835289478302,0.876213431358337,0.813300013542175,0.717739701271057,0.548144459724426,0.821369409561157,0.821852326393127
23,0.876088857650757,0.800201177597046,0.363535612821579,0.881620287895203,0.874304056167602,0.789823710918427,0.687602162361145,0.619049966335297,0.805065512657166,0.801221787929535
