epoch,f1-score,iou_score,loss,precision,recall,val_f1-score,val_iou_score,val_loss,val_precision,val_recall
0,0.818345308303833,0.7234327793121338,0.5175297260284424,0.8151327967643738,0.8274166584014893,0.812401533126831,0.7134270071983337,0.5393471717834473,0.8129069805145264,0.8159072399139404
1,0.8515920639038086,0.7643507719039917,0.4320756793022156,0.8518471717834473,0.8547044992446899,0.8161455988883972,0.7206659317016602,0.5326312780380249,0.8235563635826111,0.8169307708740234
2,0.8580299615859985,0.7742273211479187,0.4120623767375946,0.8600913286209106,0.8592793941497803,0.822478175163269,0.7274092435836792,0.5155366659164429,0.8310692310333252,0.821925938129425
3,0.8631590604782104,0.7808650732040405,0.39920565485954285,0.8654122948646545,0.8639475703239441,0.817538857460022,0.7234031558036804,0.5309550166130066,0.8061559796333313,0.837072491645813
4,0.8672497868537903,0.7861076593399048,0.3893139362335205,0.8701938986778259,0.8676543235778809,0.8274036645889282,0.7354219555854797,0.497043251991272,0.8290113806724548,0.8287531733512878
5,0.8747507929801941,0.7965116500854492,0.3683393597602844,0.8786882162094116,0.8733018636703491,0.8051733374595642,0.7060115337371826,0.5652869939804077,0.8143601417541504,0.8075109124183655
6,0.8794586062431335,0.8042396306991577,0.3532995581626892,0.8843249678611755,0.8769564628601074,0.8267722129821777,0.7349425554275513,0.5048193335533142,0.832567572593689,0.8263712525367737
7,0.8820271492004395,0.8070180416107178,0.3480495512485504,0.8874673247337341,0.8790648579597473,0.8263680338859558,0.7324763536453247,0.508158266544342,0.8286057710647583,0.8260716199874878
8,0.8849962949752808,0.8115271925926208,0.33843037486076355,0.8907184600830078,0.8815319538116455,0.8200636506080627,0.7260991334915161,0.5178647637367249,0.8331825733184814,0.8150302171707153
9,0.8868595361709595,0.814028799533844,0.3340190351009369,0.8932725787162781,0.8829053044319153,0.8255583643913269,0.7308707237243652,0.5136358141899109,0.8199523091316223,0.8345299959182739
10,0.8911627531051636,0.81998610496521,0.32290223240852356,0.8973619341850281,0.8872997760772705,0.8195840716362,0.723206639289856,0.5299652814865112,0.8335012793540955,0.8091415166854858
11,0.8957765102386475,0.8265661597251892,0.31019604206085205,0.9025200605392456,0.8909476399421692,0.8224226832389832,0.7282825112342834,0.5290046334266663,0.8395286798477173,0.8133358955383301
