Image_name,mIoU,Precision,Recall,F1-score(Dice-score),F2-score
Image 1,0.782645566746991,0.849593887058922,0.878425529277677,0.861358072080294,0.87084378202328
Image 2,0.765517202892497,0.863047221465558,0.820938471658672,0.827414777216543,0.821685237371485
Image 3,0.78044401293131,0.901530389775849,0.841177320260938,0.864413195928069,0.849309515740688
Image 4,0.635822559334663,0.738675356946241,0.752634744858381,0.722883876354828,0.732244732710983
Image 5,0.601648797423633,0.724459244834078,0.701641713244373,0.694327791203686,0.696331885269441
Image 6,0.719555451899902,0.813845221106945,0.796333655032603,0.802069675648685,0.798079180357236
Image 7,0.777967380161412,0.871089479253861,0.861687899300781,0.865542310149617,0.863043552207346
Image 8,0.641885618331649,0.741375295310467,0.772838296644956,0.742052533050109,0.755112084295239
Image 9,0.699585313066527,0.781325829117237,0.817493577192819,0.796342732510828,0.808132176358803
Image 10,0.719977914540998,0.828475596519403,0.808481989726002,0.817964678431243,0.812159760273216
Image 11,0.647884238194315,0.740555462639558,0.853202863893074,0.744618928035716,0.775177012225934
Image 12,0.568267642817609,0.660270182129368,0.732726715086228,0.665212334798135,0.687558662717779
Image 13,0.74198722711686,0.889224206608928,0.78901274706309,0.805630551422952,0.793370161221183
Image 14,0.602334788542039,0.761677859426309,0.730670674937858,0.701870860745532,0.707180987467811
Image 15,0.678056681399771,0.789765278284427,0.786138899929216,0.760574395104195,0.769945296187751
Image 16,0.625308710141829,0.717701437830912,0.769079793158421,0.726884386684319,0.744742943284746
Image 17,0.594604982611354,0.763520115574089,0.662122296208473,0.701659803888212,0.676070846206861
Image 18,0.624064326420042,0.782650302780599,0.71021225435618,0.733370295264683,0.717574290254453
Image 19,0.665347533011206,0.76869790944348,0.805967057109576,0.774046348821528,0.788656097791686
Image 20,0.682670052097467,0.797702506343641,0.756680970342172,0.771357053537056,0.761417517743156
Image 21,0.794029392901401,0.875890257968926,0.848230137522677,0.859332608243001,0.852169234563822
Image 22,0.732554703560621,0.868470338687601,0.791645807754534,0.822769348598491,0.802767377989249
Image 23,0.734968821871499,0.83393589550087,0.821217171797876,0.825478245999538,0.822478463773243
Image 24,0.727374403929193,0.845386211349172,0.796373672613388,0.819009980632962,0.805023221768704
Image 25,0.763079377105601,0.893173902720759,0.796064971741468,0.828046536262312,0.806859025154878
Image 26,0.726024209818414,0.828917018879143,0.834379190889177,0.831339642909107,0.83308565280389
Image 27,0.734822092606791,0.865124877292491,0.797421269602603,0.826874632186218,0.808319981793456
Image 28,0.68743905253994,0.820618996984685,0.776197786481377,0.78868275607445,0.779362509928801
Image 29,0.715784842896743,0.793537806638142,0.865372625589058,0.803266290932777,0.827842154840015
Image 30,0.650099664846948,0.875455765445696,0.706504796795347,0.747119194117794,0.718040660686329
Image 31,0.759608179328166,0.843950579416984,0.837961157737084,0.83886318208668,0.837897263993249
Image 32,0.694111863377003,0.79045778315811,0.830499764285174,0.80686093704154,0.820123667655754
Image 33,0.797694829763755,0.910191335666627,0.845022248339932,0.872457879354711,0.855039583580235
Image 34,0.722631837384423,0.845860271564654,0.80081232564685,0.818856313531794,0.807125820368809
Image 35,0.721122458767244,0.79672693715904,0.827997656563169,0.809707661978251,0.819918224805213
Image 36,0.692952433419736,0.84981294243278,0.782717479079879,0.789351355342346,0.781162929903695
Image 37,0.718818426389793,0.826744004955769,0.81129114546925,0.818257173472312,0.813906159352902
Image 38,0.665038714776627,0.857429834483876,0.756776938191104,0.761611997983659,0.755599156127988
Image 39,0.640001222644715,0.734136479633696,0.767601986085211,0.729021520488358,0.739514646396514
Image 40,0.593983236769961,0.65113001201124,0.770055929108944,0.680235936714945,0.713857188403255
Image 41,0.558593292335557,0.668568152056401,0.664474735474747,0.645239298738901,0.642147018593842
Image 42,0.784959318058741,0.840983978608088,0.870168738789437,0.854717267044545,0.86376193301838
Image 43,0.699522825226074,0.843689868198217,0.775833124682005,0.805390929088433,0.786807993913965
Image 44,0.756702943756408,0.839784436594674,0.845334712235761,0.838398579925069,0.841587471509703
Image 45,0.771784572535241,0.893830698360735,0.833335416423893,0.857603649575395,0.842015969376515
Image 46,0.695706736793939,0.905729027677345,0.750675442190583,0.779416653248548,0.758947800585811
Image 47,0.734230201488411,0.84841842584614,0.806941115695158,0.824171804787712,0.813136500823862
Image 48,0.625145964317571,0.716867593147779,0.688173365944438,0.695463395478492,0.689955424656216
Image 49,0.71982250265396,0.850944630935389,0.787845725623344,0.813200525141146,0.796829156847103
Image 50,0.787557299877689,0.858781992484751,0.892939837023542,0.874326724396096,0.885088219208912
Image 51,0.688368428128972,0.819699490848276,0.779164254277682,0.788247251526191,0.781235645031221
Image 52,0.661134373102025,0.8297424865529,0.758788274985663,0.775619972626775,0.762245486834647
Image 53,0.492944444119292,0.623727650292603,0.55486315594455,0.566647952901547,0.551914899458492
Image 54,0.627161659010784,0.787647381906787,0.754730018381733,0.75397061681763,0.751625781537577
Image 55,0.594513871037153,0.765302689477489,0.706103086321275,0.725110794201741,0.711700202684003
Image 56,0.650861528524205,0.788979831139754,0.765936811892074,0.762502619523864,0.76093378593943
Image 57,0.692977877691049,0.793535124613224,0.78711129876217,0.787848427941701,0.786921996479796
Image 58,0.728715873941973,0.860259236213475,0.802345275339965,0.822923131777305,0.809000833161688
Image 59,0.63162031376302,0.769168460462736,0.721364184633466,0.731273577037487,0.723594274327914
Image 60,0.645124051483516,0.747828981553419,0.775492657290012,0.745728129951698,0.759788018446512
Image 61,0.649574688409453,0.775527682023273,0.754340934608878,0.763597076843472,0.757750421185413
Image 62,0.758824404499902,0.88978789421116,0.821310857617877,0.849228108826751,0.83136363246974
Image 63,0.731495006049472,0.885225356667938,0.78509772582324,0.819507758721576,0.796718932966592
Image 64,0.823765821469993,0.922827144717586,0.872759318134002,0.894004409907559,0.880536106412475
