epoch,tf,f1-score,iou_score,loss,precision,recall,val_f1-score,val_iou_score,val_loss,val_precision,val_recall
439,FALSE,0.972785532474518,0.947940647602081,0.09657509624958,0.971908092498779,0.97370046377182,0.940990149974823,0.89187216758728,0.243029564619064,0.942691266536713,0.939925789833069
215,FALSE,0.968335568904877,0.939732730388641,0.112273156642914,0.96751856803894,0.969197928905487,0.939980626106262,0.890146017074585,0.241143569350243,0.93764865398407,0.943219661712646
301,FALSE,0.97024267911911,0.94324791431427,0.105364002287388,0.96950101852417,0.971043169498444,0.940104126930237,0.889943778514862,0.243783593177795,0.939987778663635,0.940857231616974
458,FALSE,0.973018407821655,0.94832456111908,0.096062831580639,0.97225546836853,0.973823308944702,0.939903378486633,0.889898240566254,0.257013857364655,0.94061416387558,0.940081417560577
472,FALSE,0.973476469516754,0.949134469032288,0.094399116933346,0.97266149520874,0.974319458007812,0.939956903457642,0.88980758190155,0.249724894762039,0.940220057964325,0.940511047840118
316,FALSE,0.971709728240967,0.945915639400482,0.100609585642815,0.971000015735626,0.972461342811584,0.939507067203522,0.889648020267487,0.24632066488266,0.943145871162415,0.936791300773621
443,FALSE,0.973214507102966,0.948644995689392,0.09544799476862,0.972425997257233,0.9740349650383,0.939445793628693,0.88946545124054,0.249362885951996,0.938324689865112,0.941394448280334
305,FALSE,0.971408188343048,0.945376992225647,0.101655974984169,0.970669567584991,0.972180485725403,0.939549267292023,0.889362275600433,0.249423816800117,0.939803302288055,0.939960539340973
248,FALSE,0.969454348087311,0.941847681999206,0.108039908111095,0.968601942062378,0.970352590084076,0.939659297466278,0.889131963253021,0.25346851348877,0.94319760799408,0.937076270580291
303,FALSE,0.970388293266296,0.943521440029144,0.1052051410079,0.96975439786911,0.971089720726013,0.939467430114746,0.889046013355255,0.24778912961483,0.938328981399536,0.941342532634735
221,FALSE,0.968982517719269,0.941015243530273,0.10958393663168,0.96822726726532,0.96978235244751,0.938922047615051,0.88876074552536,0.256150841712952,0.940471172332764,0.93831878900528
467,FALSE,0.974030911922455,0.950177192687988,0.092352174222469,0.973222613334656,0.974864959716797,0.938826739788055,0.888746917247772,0.257821619510651,0.94277548789978,0.936036884784698
452,FALSE,0.972650229930878,0.947715401649475,0.096844218671322,0.971736490726471,0.973610460758209,0.939430177211762,0.888723313808441,0.26716023683548,0.938740789890289,0.940884828567505
395,FALSE,0.972353160381317,0.947077035903931,0.098405830562115,0.97140896320343,0.973327219486237,0.93915730714798,0.888710200786591,0.255777567625046,0.93913722038269,0.940191447734833
353,FALSE,0.97041517496109,0.943580389022827,0.104901075363159,0.96954470872879,0.971336245536804,0.938404023647308,0.888154864311218,0.255412429571152,0.937850415706634,0.940623342990875
424,FALSE,0.973132014274597,0.948534250259399,0.095668084919453,0.97225421667099,0.974046885967254,0.938716888427734,0.887928247451782,0.256890714168549,0.939469754695892,0.938647210597992
317,FALSE,0.971964955329895,0.946410357952118,0.099527545273304,0.971119940280914,0.972861588001251,0.938496351242065,0.887595415115356,0.255568742752075,0.934836089611053,0.943369150161743
302,FALSE,0.971163749694824,0.94511067867279,0.101462997496128,0.970159530639648,0.97230589389801,0.938321948051452,0.887546181678772,0.247385889291763,0.942071199417114,0.935520529747009
220,FALSE,0.969238102436066,0.941407263278961,0.109056763350964,0.968443930149078,0.970075368881226,0.938222646713257,0.887242138385773,0.255752593278885,0.935495316982269,0.941919922828674
436,FALSE,0.973390221595764,0.949028968811035,0.094450868666172,0.972447454929352,0.974361479282379,0.938121914863586,0.887123048305512,0.254326045513153,0.934884011745453,0.942275702953339
429,FALSE,0.971895098686218,0.946220517158508,0.099959798157215,0.971106767654419,0.972727060317993,0.938310265541077,0.887057065963745,0.26124569773674,0.937148213386535,0.940364837646484
152,FALSE,0.965462863445282,0.934585869312286,0.122482255101204,0.964636743068695,0.966374635696411,0.938047707080841,0.886977791786194,0.241042375564575,0.933356404304504,0.943835914134979
421,FALSE,0.973580420017242,0.949342966079712,0.094114430248737,0.972680866718292,0.97451251745224,0.938142955303192,0.886728465557098,0.271960020065308,0.941992700099945,0.935619235038757
283,FALSE,0.970090091228485,0.942972958087921,0.106009535491467,0.969115495681763,0.971105098724365,0.937701761722565,0.886203825473785,0.25191056728363,0.93485015630722,0.941393673419952
499,FALSE,0.976753890514374,0.955193102359772,0.083872802555561,0.975801050662994,0.97772878408432,0.937764525413513,0.886146903038025,0.274529904127121,0.935664892196655,0.940469622612
346,FALSE,0.971803843975067,0.946114838123322,0.100090757012367,0.970873653888702,0.972767114639282,0.937583744525909,0.886096715927124,0.267424762248993,0.939238965511322,0.936797201633453
282,FALSE,0.969569325447082,0.942007660865784,0.10792314261198,0.968780219554901,0.970401763916016,0.937698841094971,0.886072099208832,0.249388232827187,0.936902225017548,0.939011096954346
347,FALSE,0.972466766834259,0.947301626205444,0.098073415458202,0.971571683883667,0.973401069641113,0.937234103679657,0.885954737663269,0.26056981086731,0.933096885681152,0.942783176898956
320,FALSE,0.971106648445129,0.944841861724854,0.102616339921951,0.970235586166382,0.972021698951721,0.93736732006073,0.8859423995018,0.25742307305336,0.941568076610565,0.934413313865662
477,FALSE,0.975665509700775,0.953173935413361,0.087612122297287,0.974739491939545,0.976611137390137,0.937727630138397,0.88583117723465,0.268629640340805,0.936250150203705,0.93978762626648
274,FALSE,0.97030246257782,0.943361759185791,0.105347625911236,0.969560384750366,0.971091568470001,0.937201082706451,0.885652899742126,0.259409010410309,0.934744656085968,0.940967619419098
