epoch,f1-score,iou_score,loss,lr,precision,recall,val_f1-score,val_iou_score,val_loss,val_precision,val_recall
0,0.8797818422317505,0.8049631714820862,0.3803958594799042,0.001,0.8746709823608398,0.8974208831787109,0.43772581219673157,0.2942679822444916,2.348580837249756,0.6741571426391602,0.5791478753089905
1,0.9336195588111877,0.8806501626968384,0.2323804497718811,0.001,0.9335839152336121,0.936212420463562,0.41494837403297424,0.292018324136734,2.3911540508270264,0.6780039072036743,0.571519136428833
2,0.9433472752571106,0.8964242339134216,0.20051392912864685,0.001,0.9437177777290344,0.9443357586860657,0.8666955232620239,0.7796511650085449,0.4615461528301239,0.853106677532196,0.8901102542877197
3,0.9481998682022095,0.904466450214386,0.1847669780254364,0.001,0.9484254121780396,0.9488927721977234,0.8550616502761841,0.7659622430801392,0.5011632442474365,0.8381050825119019,0.8950956463813782
4,0.9506255984306335,0.9086254239082336,0.17642195522785187,0.001,0.9511492252349854,0.951056718826294,0.7230507731437683,0.601033627986908,1.0009819269180298,0.7571246027946472,0.8146743774414062
5,0.95245361328125,0.9116647839546204,0.17063984274864197,0.001,0.9528530240058899,0.9528415203094482,0.7968664765357971,0.6827289462089539,0.7200912237167358,0.8359853625297546,0.7775247693061829
6,0.9556649923324585,0.917145311832428,0.15974807739257812,0.001,0.9563782215118408,0.9555332660675049,0.8972161412239075,0.8210116028785706,0.37264713644981384,0.9014511108398438,0.8970251679420471
7,0.9580967426300049,0.9213821887969971,0.15134769678115845,0.001,0.9584634304046631,0.9581588506698608,0.8906855583190918,0.8165680170059204,0.3825831413269043,0.8797793388366699,0.914284884929657
8,0.9576215147972107,0.920624315738678,0.1530728042125702,0.001,0.9581438899040222,0.9575766921043396,0.9372130036354065,0.8853248953819275,0.22689135372638702,0.9435339570045471,0.9320312738418579
9,0.9584014415740967,0.9219937324523926,0.15004654228687286,0.001,0.9590024948120117,0.9582945704460144,0.9260842204093933,0.8677456378936768,0.27282586693763733,0.915991485118866,0.9384491443634033
10,0.9600275754928589,0.9248049855232239,0.1448594182729721,0.001,0.9607084393501282,0.9598197340965271,0.909894585609436,0.8388733863830566,0.3334231376647949,0.9247404932975769,0.8987956047058105
11,0.9615978598594666,0.9275966286659241,0.13898372650146484,0.001,0.9620150327682495,0.9615000486373901,0.925114095211029,0.8661414384841919,0.2746494710445404,0.9283936619758606,0.9240336418151855
12,0.9626318216323853,0.9293891191482544,0.13575159013271332,0.001,0.9631345868110657,0.9624641537666321,0.9442397356033325,0.8973990678787231,0.20467232167720795,0.9481964707374573,0.9410205483436584
13,0.962809681892395,0.9297488331794739,0.13487164676189423,0.001,0.9631742238998413,0.9628169536590576,0.9396880269050598,0.8897631168365479,0.22076064348220825,0.9372766613960266,0.942940890789032
14,0.9623919129371643,0.9289948344230652,0.13631278276443481,0.001,0.9627543687820435,0.9623515605926514,0.888834536075592,0.8076850175857544,0.4039980173110962,0.879524827003479,0.9108685255050659
15,0.9652120471000671,0.9339898228645325,0.1266402304172516,0.001,0.9657597541809082,0.9648873209953308,0.9426785707473755,0.8954898118972778,0.20832720398902893,0.9451761245727539,0.9413207173347473
16,0.9660409092903137,0.9355138540267944,0.12364623695611954,0.001,0.9664392471313477,0.9658647775650024,0.9356599450111389,0.88397616147995,0.22924195230007172,0.9387896656990051,0.9342291951179504
17,0.9654179215431213,0.9343997240066528,0.12591330707073212,0.001,0.9658374786376953,0.9652650952339172,0.9276273846626282,0.8714425563812256,0.2590824365615845,0.9529337286949158,0.9087691903114319
18,0.9692076444625854,0.9412543773651123,0.11203742772340775,0.000100000005,0.969596803188324,0.968934953212738,0.9564980864524841,0.9188135862350464,0.15939506888389587,0.9621406197547913,0.9516556262969971
19,0.9705995917320251,0.9437516927719116,0.10737112164497375,0.000100000005,0.971021831035614,0.9702754020690918,0.959475040435791,0.9239790439605713,0.14899581670761108,0.9634004235267639,0.9560869932174683
20,0.9712502956390381,0.9449456930160522,0.10517971217632294,0.000100000005,0.971664309501648,0.9709305763244629,0.9595784544944763,0.9241895079612732,0.14860899746418,0.9631295800209045,0.9565686583518982
21,0.9716418385505676,0.9456862807273865,0.10375494509935379,0.000100000005,0.9720345735549927,0.9713395833969116,0.9596824049949646,0.9243321418762207,0.14840508997440338,0.963161826133728,0.9566473960876465
22,0.9720655083656311,0.946449875831604,0.1022653728723526,0.000100000005,0.9724399447441101,0.9717735648155212,0.9597120881080627,0.9244903922080994,0.14835940301418304,0.9610345959663391,0.958859384059906
23,0.9722722172737122,0.9468473792076111,0.10145441442728043,0.000100000005,0.9726823568344116,0.9719504714012146,0.9600178599357605,0.9249314069747925,0.1474906951189041,0.9630257487297058,0.9574880003929138
24,0.9727538824081421,0.9477255940437317,0.09985814988613129,0.000100000005,0.9731349945068359,0.9724598526954651,0.9599894285202026,0.9248780608177185,0.14777015149593353,0.9622265696525574,0.9581509232521057
25,0.9730167388916016,0.948203444480896,0.0989462286233902,0.000100000005,0.9734481573104858,0.9726607799530029,0.9602231383323669,0.9252219796180725,0.14753670990467072,0.9632512331008911,0.9576569199562073
26,0.9731785655021667,0.9485335350036621,0.09825196862220764,0.000100000005,0.9736406803131104,0.9728012084960938,0.9600396752357483,0.9249420166015625,0.14801645278930664,0.9628430604934692,0.9576691389083862
27,0.9733901619911194,0.9489145874977112,0.0975145474076271,0.000100000005,0.9737579226493835,0.9731045961380005,0.9599197506904602,0.9247075915336609,0.14858607947826385,0.9639346599578857,0.9563714265823364
