epoch,f1-score,iou_score,loss,lr,precision,recall,val_f1-score,val_iou_score,val_loss,val_precision,val_recall
0,0.8251284956932068,0.7284924983978271,0.5312185883522034,0.001,0.7784932851791382,0.9114062190055847,0.2978881001472473,0.1943764090538025,2.306490659713745,0.5050766468048096,0.4796331524848938
1,0.9263010621070862,0.8689228892326355,0.24965310096740723,0.001,0.9158768057823181,0.9408435225486755,0.47299250960350037,0.32468119263648987,1.9708399772644043,0.6291841864585876,0.6183639168739319
2,0.9380583763122559,0.887881875038147,0.21371927857398987,0.001,0.9306482076644897,0.9477646350860596,0.8105524182319641,0.7030499577522278,0.6347184181213379,0.7764631509780884,0.8721955418586731
3,0.9431706666946411,0.8960707187652588,0.19801609218120575,0.001,0.9364013671875,0.9515476226806641,0.8552263975143433,0.7613800764083862,0.49743202328681946,0.8689000606536865,0.8511028289794922
4,0.9466782212257385,0.90193110704422,0.18636542558670044,0.001,0.9403210282325745,0.9543056488037109,0.8744316697120667,0.7874405980110168,0.4549032151699066,0.9027495384216309,0.8603885173797607
5,0.9498200416564941,0.9071251749992371,0.17650392651557922,0.001,0.9440363645553589,0.9565721750259399,0.7509137392044067,0.6140444874763489,0.9697661399841309,0.7268744111061096,0.8173904418945312
6,0.9527655839920044,0.9121221899986267,0.16677822172641754,0.001,0.9471061825752258,0.9592226147651672,0.8767648935317993,0.7932105660438538,0.4337116777896881,0.8574260473251343,0.9035888910293579
7,0.9541894197463989,0.9146249294281006,0.16194774210453033,0.001,0.9490349292755127,0.9600792527198792,0.8951309323310852,0.8210114240646362,0.3578002452850342,0.8893521428108215,0.9032647013664246
8,0.9533252716064453,0.9132497906684875,0.16492459177970886,0.001,0.9483165144920349,0.9592811465263367,0.9213247895240784,0.8588711619377136,0.2805638611316681,0.9224869012832642,0.9221594333648682
9,0.9559104442596436,0.9176298379898071,0.15600433945655823,0.001,0.9509677886962891,0.9616007804870605,0.8909109234809875,0.8133609890937805,0.3936900496482849,0.9236961007118225,0.8748574256896973
10,0.9569815397262573,0.9194371700286865,0.15290039777755737,0.001,0.9520646333694458,0.962567925453186,0.9377017021179199,0.8868648409843445,0.22618235647678375,0.9485637545585632,0.9295033812522888
11,0.9570392370223999,0.9196000099182129,0.15221388638019562,0.001,0.9521875977516174,0.962550163269043,0.92094886302948,0.8592039346694946,0.27951428294181824,0.9132013320922852,0.9307616949081421
12,0.9578440189361572,0.920994758605957,0.14990217983722687,0.001,0.9533758163452148,0.9630123972892761,0.9421272873878479,0.8946491479873657,0.20223943889141083,0.9327884912490845,0.9537072777748108
13,0.959829568862915,0.9244276285171509,0.1430083066225052,0.001,0.955341100692749,0.9648401737213135,0.9377279281616211,0.8864668607711792,0.2263508439064026,0.9502101540565491,0.9282707571983337
14,0.96049565076828,0.925610363483429,0.14075088500976562,0.001,0.9560203552246094,0.9654660224914551,0.934887707233429,0.8830369114875793,0.2286217212677002,0.9200904965400696,0.9529849290847778
15,0.9614238142967224,0.9271920323371887,0.1378052681684494,0.001,0.9569004774093628,0.966340959072113,0.9408339858055115,0.8912926912307739,0.21480222046375275,0.9417292475700378,0.9409618973731995
16,0.9616066217422485,0.9275488257408142,0.1370033472776413,0.001,0.9572958946228027,0.9663082957267761,0.9187134504318237,0.852872908115387,0.30231326818466187,0.9264060258865356,0.9146562814712524
17,0.9616477489471436,0.9276759028434753,0.13671402633190155,0.001,0.9572882056236267,0.9664624929428101,0.9100347757339478,0.8391796946525574,0.3341918885707855,0.9084005951881409,0.9141035079956055
18,0.9655912518501282,0.9346914887428284,0.12293316423892975,0.000100000005,0.9617104530334473,0.969695508480072,0.95168536901474,0.9103925824165344,0.17296622693538666,0.9496291279792786,0.9544368386268616
19,0.9672744870185852,0.9376532435417175,0.11761655658483505,0.000100000005,0.9638057351112366,0.9709422588348389,0.9566407799720764,0.9189302921295166,0.1555565595626831,0.9539873003959656,0.9597591757774353
20,0.9680145382881165,0.9389988780021667,0.11508087813854218,0.000100000005,0.9645307064056396,0.9716641306877136,0.9565983414649963,0.9189908504486084,0.15577438473701477,0.9550431966781616,0.9587692022323608
21,0.968265175819397,0.9394822120666504,0.11421505361795425,0.000100000005,0.9648083448410034,0.9718930721282959,0.9570068120956421,0.9195857644081116,0.15458445250988007,0.9548302888870239,0.9596136212348938
22,0.9686891436576843,0.9402291178703308,0.11274746805429459,0.000100000005,0.9653669595718384,0.9721639156341553,0.9566550850868225,0.9190754890441895,0.1558101624250412,0.9540778398513794,0.9598118662834167
23,0.9688134789466858,0.9404841065406799,0.11226096749305725,0.000100000005,0.9655775427818298,0.9722084999084473,0.9568796753883362,0.9194196462631226,0.1556624174118042,0.9559978246688843,0.958371639251709
24,0.9692146182060242,0.9411901831626892,0.11095668375492096,0.000100000005,0.9660190939903259,0.9725846648216248,0.9566934108734131,0.919071614742279,0.15645594894886017,0.9569007754325867,0.9570140838623047
25,0.9696120619773865,0.9419094324111938,0.10963544994592667,0.000100000005,0.9664825201034546,0.9728818535804749,0.9568721652030945,0.9193506836891174,0.15675634145736694,0.9579639434814453,0.9564005136489868
26,0.9695842862129211,0.9418967962265015,0.10966333001852036,0.000100000005,0.9664992094039917,0.9728318452835083,0.9567427039146423,0.9191187024116516,0.15651622414588928,0.956463634967804,0.9575285315513611
27,0.9700267910957336,0.9426875114440918,0.10810016840696335,1.0000001e-05,0.9669638872146606,0.9732207655906677,0.9572049379348755,0.9199758768081665,0.1542474329471588,0.9547482132911682,0.9602228403091431
