epoch,time(in sec)
17,238.563265800476
18,237.419922351837
19,236.918116092682
20,238.344462156296
21,237.860730171204
22,236.923046350479
23,238.71232676506
24,238.984724283218
25,239.283966302872
26,236.927620172501
27,240.740711212158
28,238.016234636307
29,236.116697311401
30,237.920072317123
31,238.129766225815
32,235.75379586219788
33,236.9336667060852
34,238.16263031959534
35,238.60141015052795
36,234.63939476013184
37,234.47060179710388
38,236.13588047027588
39,234.5243489742279
40,234.00121927261353
41,234.42627930641174
42,233.98718214035034
43,237.83601546287537
44,236.04067754745483
45,234.03397846221924
46,234.35494327545166
47,234.60592651367188
48,237.30488467216492
49,236.04860925674438
50,233.51194310188293
51,234.22195744514465
52,233.3206992149353
53,232.76733136177063
54,233.28695464134216
55,233.4470136165619
56,234.86874198913574
57,237.78839659690857
58,232.69448351860046
59,233.09594464302063
60,235.36276483535767
61,235.49782824516296
62,237.99078345298767
63,237.80726671218872
64,235.3655686378479
65,235.18893718719482
66,237.71696066856384
67,233.63388538360596
68,235.18971824645996
69,238.1626079082489
70,233.1408519744873
71,235.68746495246887
72,235.71454215049744
73,235.0625274181366
74,235.03027892112732
75,235.02442979812622
76,235.4541175365448
77,235.65505123138428
78,237.4913101196289
79,235.93829727172852
80,235.13485527038574
81,231.9138379096985
82,235.93107533454895
83,236.35367512702942
84,235.3580961227417
85,235.58585929870605
86,234.19642519950867
87,237.67384338378906
88,232.71372246742249
89,235.89576315879822
90,234.54958152770996
91,234.97051191329956
92,237.78529000282288
93,236.2665195465088
94,234.75450897216797
95,238.6268982887268
96,237.55160880088806
97,236.69971466064453
98,235.35473489761353
99,236.70878148078918
100,235.34565997123718
101,240.43145442008972
102,236.35572981834412
103,237.03353357315063
104,239.1743495464325
105,237.5290870666504
106,238.62354016304016
107,236.90507411956787
108,237.4393949508667
109,236.2076940536499
110,239.3076629638672
111,236.85406160354614
112,236.60784673690796
113,234.99361395835876
114,236.7996678352356
115,233.01766419410706
116,235.3968243598938
117,233.91840171813965
118,235.62718725204468
119,236.90116572380066
120,233.68054366111755
121,234.48576498031616
122,235.6817421913147
123,235.45134258270264
124,234.71893095970154
125,234.92307662963867
126,234.60255908966064
127,238.83020329475403
128,235.00357818603516
129,236.57113432884216
130,233.48534655570984
131,236.7801558971405
132,231.73491835594177
133,237.5207622051239
134,234.41110491752625
135,237.9914493560791
136,236.72716307640076
137,233.48822593688965
138,233.84266304969788
139,234.37903380393982
140,234.50927567481995
141,237.42467045783997
142,236.17069578170776
143,232.44332814216614
144,234.6482605934143
145,237.31000304222107
146,235.30127835273743
147,236.34529876708984
148,238.3322684764862
149,236.6931004524231
150,237.58573484420776
151,236.10249161720276
152,235.6548318862915
153,233.71896624565125
154,236.20910143852234
155,238.49205708503723
156,233.7462673187256
157,240.18382930755615
158,237.4890775680542
159,237.2082657814026
160,239.6760058403015
161,233.7263433933258
162,237.45544147491455
163,236.68479347229004
164,238.7492275238037
165,236.00413179397583
166,235.12642335891724
167,235.1205348968506
168,238.97880029678345
169,234.8067169189453
170,236.5538399219513
171,236.29459238052368
172,237.08699750900269
173,240.27953386306763
174,235.13039469718933
175,233.92709708213806
176,235.09706807136536
177,234.05743050575256
178,232.75045132637024
179,232.16195392608643
180,235.91701793670654
181,234.1907958984375
182,234.96874928474426
183,239.49236679077148
184,237.01120281219482
185,232.95167207717896
186,235.48897862434387
187,239.47598671913147
188,236.2025923728943
189,234.79417252540588
190,233.6133587360382
191,236.19970226287842
192,232.97906637191772
193,234.55366730690002
194,230.10388612747192
195,232.7611711025238
196,234.32603454589844
197,230.83330535888672
198,235.49041891098022
199,232.4228162765503
200,234.33015322685242
201,234.5133364200592
202,232.49633145332336
203,232.95154762268066
204,235.62839484214783
205,239.25511026382446
206,234.06712126731873
207,233.9848597049713
208,233.09326934814453
209,234.08528661727905
210,236.96462225914001
211,237.66122245788574
212,238.9134180545807
213,236.21931099891663
214,237.34893798828125
215,235.81005954742432
216,237.77964544296265
217,241.4878830909729
218,235.12331557273865
219,233.78151965141296
220,235.89817929267883
221,236.36198687553406
222,234.57860469818115
223,238.03400087356567
224,234.26560807228088
225,236.6552495956421
226,238.8323118686676
227,235.1058428287506
228,237.10904097557068
229,237.03187012672424
230,231.78911113739014
231,237.0617835521698
232,233.5336298942566
233,233.27293610572815
234,241.91085839271545
235,236.69312191009521
236,241.69406986236572
237,235.7035927772522
238,238.80067682266235
239,236.8406412601471
240,236.9986593723297
241,234.14798140525818
242,236.52377557754517
243,238.01111793518066
244,233.90603375434875
245,231.3188169002533
246,236.05951809883118
247,235.75108003616333
248,234.82898592948914
249,235.7884247303009
250,234.03437876701355
251,236.52309226989746
252,233.88775539398193
253,239.3459746837616
254,236.89289951324463
255,236.47131323814392
256,238.486962556839
257,237.54398846626282
258,239.84661960601807
259,235.11268544197083
260,231.76966500282288
261,237.47155213356018
262,238.19407606124878
263,234.5455584526062
264,236.78840041160583
265,233.62439441680908
266,240.49645495414734
267,237.17772221565247
268,241.45932388305664
269,236.29019904136658
270,235.39526343345642
271,240.05093479156494
272,233.85988664627075
273,237.2701964378357
274,243.43364000320435
275,242.79866647720337
276,242.33372378349304
277,240.28911924362183
278,237.04301023483276
279,238.0713996887207
280,237.17041397094727
281,237.72389888763428
282,234.53705716133118
283,236.57288312911987
284,234.82742619514465
285,236.03790020942688
286,238.33220958709717
287,235.9759042263031
288,235.74062418937683
289,235.267991065979
290,237.26377844810486
291,236.63032388687134
292,237.23731350898743
293,241.36025023460388
294,236.8856234550476
295,234.4741575717926
296,239.45363855361938
297,236.65231037139893
298,236.48722004890442
299,236.2069170475006
300,238.4258782863617
301,238.21424555778503
302,243.28466057777405
303,239.74608254432678
304,240.26954627037048
305,239.1798288822174
306,240.70504450798035
307,239.03327560424805
308,240.01427698135376
309,239.20265817642212
310,236.7433421611786
311,238.14637660980225
312,238.3329632282257
313,238.0720238685608
314,240.10845160484314
315,236.68540263175964
316,236.7217619419098
317,237.79164457321167
318,240.3941252231598
319,238.45071601867676
320,237.14750719070435
321,238.4463939666748
322,238.2039475440979
323,237.24797081947327
324,237.82345533370972
325,236.57875990867615
326,236.10912013053894
327,238.21113300323486
328,238.7834894657135
329,236.3891899585724
330,236.73010897636414
331,235.5071098804474
332,237.95585370063782
333,237.12175917625427
334,236.121502161026
335,239.7637083530426
336,236.33122611045837
337,238.2977249622345
338,237.46443438529968
339,238.80776381492615
