epoch,f1-score,iou_score,loss,lr,precision,recall,val_f1-score,val_iou_score,val_loss,val_precision,val_recall
0,0.87412428855896,0.7953974604606628,0.392996221780777,0.001,0.8662538528442383,0.8977359533309937,0.46522942185401917,0.32302019000053406,1.7589588165283203,0.6592804789543152,0.6022875308990479
1,0.930382251739502,0.8753437399864197,0.23900210857391357,0.001,0.929406464099884,0.933656632900238,0.510499119758606,0.36215686798095703,1.742865800857544,0.6774035096168518,0.640200674533844
2,0.9393213987350464,0.889784038066864,0.21086642146110535,0.001,0.9388779997825623,0.9411022663116455,0.5625560879707336,0.4282327890396118,1.4049032926559448,0.6889665722846985,0.6732078790664673
3,0.9431807994842529,0.895960807800293,0.19880037009716034,0.001,0.9427385926246643,0.9445428252220154,0.5115243196487427,0.3774760961532593,1.7929702997207642,0.6704593300819397,0.6292241215705872
4,0.9463760256767273,0.9013376235961914,0.1881200522184372,0.001,0.9462558627128601,0.9473184943199158,0.7443984150886536,0.629454493522644,0.9028246998786926,0.7645518183708191,0.8269931077957153
5,0.9487345814704895,0.9052906632423401,0.18065255880355835,0.001,0.9485580921173096,0.949700117111206,0.8702305555343628,0.7849582433700562,0.4476436376571655,0.8555479645729065,0.898227334022522
6,0.9520977735519409,0.9109203219413757,0.16981740295886993,0.001,0.9520693421363831,0.9525508284568787,0.8844265341758728,0.8051220178604126,0.40653643012046814,0.926409900188446,0.8571062088012695
7,0.9528886675834656,0.9123636484146118,0.1669529527425766,0.001,0.9528621435165405,0.9533473253250122,0.8980770111083984,0.8220232725143433,0.3707124590873718,0.9185255169868469,0.8829110860824585
8,0.9539600610733032,0.9142045974731445,0.16353097558021545,0.001,0.9539192318916321,0.9544280171394348,0.9023918509483337,0.8280057907104492,0.3554426431655884,0.9167777299880981,0.8921419382095337
9,0.9542012214660645,0.9146396517753601,0.16246721148490906,0.001,0.9542489647865295,0.954622209072113,0.9266914129257202,0.8692005276679993,0.26182493567466736,0.9175032377243042,0.9390495419502258
10,0.9560781717300415,0.9178602695465088,0.1564858853816986,0.001,0.9560602903366089,0.9564713835716248,0.9215596318244934,0.8603962659835815,0.2849637269973755,0.9214024543762207,0.9241020083427429
11,0.9568042755126953,0.9191514849662781,0.1538221687078476,0.001,0.9567214250564575,0.9572307467460632,0.9406288266181946,0.891668438911438,0.21444304287433624,0.9406993389129639,0.9415355920791626
12,0.9569566249847412,0.9194285869598389,0.15329019725322723,0.001,0.9570030570030212,0.9573097825050354,0.925345242023468,0.8667184710502625,0.26999062299728394,0.9436236619949341,0.9108025431632996
13,0.9586212038993835,0.9223239421844482,0.14776787161827087,0.001,0.9586439728736877,0.9588995575904846,0.9293777346611023,0.8720422387123108,0.26601243019104004,0.9392397999763489,0.9212346076965332
